Draw Date,Multiplier,White1,White2,White3,White4,White5,Powerball
06/01/2016,5.0,23,30,33,40,69,12
05/28/2016,2.0,6,33,34,58,59,12
05/25/2016,3.0,11,24,41,59,64,15
05/21/2016,4.0,5,7,9,23,32,26
05/18/2016,3.0,23,25,39,54,67,11
05/14/2016,3.0,13,27,47,64,65,9
05/11/2016,3.0,20,32,52,66,69,23
05/07/2016,2.0,5,25,26,44,66,9
05/04/2016,3.0,30,47,57,66,69,3
04/30/2016,3.0,3,12,16,32,34,14
04/27/2016,2.0,2,25,33,39,64,17
04/23/2016,5.0,19,35,46,59,62,13
04/20/2016,3.0,12,25,30,52,62,8
04/16/2016,2.0,3,18,25,32,51,3
04/13/2016,3.0,30,33,35,38,64,22
04/09/2016,3.0,14,22,23,41,61,9
04/06/2016,2.0,4,28,49,60,65,25
04/02/2016,2.0,9,28,30,40,61,3
03/30/2016,2.0,24,44,53,55,63,19
03/26/2016,3.0,11,23,42,52,68,6
03/23/2016,3.0,5,8,15,22,49,25
03/19/2016,3.0,11,23,43,54,60,3
03/16/2016,3.0,10,12,13,46,50,21
03/12/2016,2.0,11,28,50,57,62,23
03/09/2016,3.0,14,23,32,34,68,3
03/05/2016,2.0,3,27,34,59,69,19
03/02/2016,2.0,12,13,44,52,62,6
02/27/2016,3.0,10,11,21,22,53,18
02/24/2016,3.0,21,31,64,65,67,5
02/20/2016,5.0,11,12,15,16,54,25
02/17/2016,2.0,7,17,27,29,40,25
02/13/2016,2.0,7,15,18,19,36,20
02/10/2016,2.0,2,3,40,50,62,5
02/06/2016,3.0,4,13,31,36,52,8
02/03/2016,3.0,26,28,31,60,67,23
01/30/2016,4.0,5,12,16,31,43,18
01/27/2016,2.0,3,12,40,52,67,21
01/23/2016,4.0,22,32,34,40,69,19
01/20/2016,5.0,5,39,44,47,69,24
01/16/2016,2.0,3,51,52,61,64,6
01/13/2016,2.0,4,8,19,27,34,10
01/09/2016,3.0,16,19,32,34,57,13
01/06/2016,3.0,2,11,47,62,63,17
01/02/2016,2.0,5,6,15,29,42,10
12/30/2015,3.0,12,36,38,54,61,22
12/26/2015,2.0,27,40,44,59,65,20
12/23/2015,4.0,16,38,55,63,67,25
12/19/2015,2.0,28,30,41,59,68,10
12/16/2015,2.0,9,10,32,42,55,6
12/12/2015,2.0,2,14,19,30,62,22
12/09/2015,2.0,7,10,16,46,56,1
12/05/2015,2.0,13,27,33,47,68,13
12/02/2015,2.0,14,18,19,32,64,9
11/28/2015,3.0,2,6,47,66,67,2
11/25/2015,2.0,16,29,53,58,69,21
11/21/2015,3.0,37,47,50,52,57,21
11/18/2015,2.0,17,40,41,46,69,6
11/14/2015,3.0,14,22,37,45,66,5
11/11/2015,3.0,4,26,32,55,64,18
11/07/2015,2.0,7,16,25,50,53,15
11/04/2015,4.0,2,12,17,20,65,17
10/31/2015,2.0,9,20,25,47,68,7
10/28/2015,2.0,4,54,56,62,63,10
10/24/2015,3.0,20,31,56,60,64,2
10/21/2015,4.0,30,32,42,56,57,11
10/17/2015,3.0,48,49,57,62,69,19
10/14/2015,2.0,15,20,29,31,40,1
10/10/2015,2.0,12,27,29,43,68,1
10/07/2015,3.0,18,30,40,48,52,9
10/03/2015,2.0,6,26,33,44,46,4
09/30/2015,3.0,21,39,40,55,59,17
09/26/2015,3.0,23,31,42,50,57,5
09/23/2015,2.0,8,29,41,51,58,5
09/19/2015,2.0,12,17,26,43,48,24
09/16/2015,3.0,5,7,24,31,39,7
09/12/2015,3.0,2,3,13,16,35,27
09/09/2015,2.0,44,45,47,50,51,8
09/05/2015,2.0,10,16,18,29,45,19
09/02/2015,3.0,17,22,30,46,56,16
08/29/2015,2.0,18,21,25,28,29,16
08/26/2015,5.0,2,22,32,45,56,12
08/22/2015,4.0,4,12,14,21,55,7
08/19/2015,2.0,6,8,43,48,50,7
08/15/2015,4.0,3,13,17,42,52,24
08/12/2015,2.0,8,13,29,38,52,28
08/08/2015,4.0,9,34,48,52,54,15
08/05/2015,2.0,9,11,14,16,42,19
08/01/2015,3.0,7,13,24,49,57,15
07/29/2015,3.0,4,22,27,28,52,35
07/25/2015,3.0,27,29,34,41,44,2
07/22/2015,2.0,12,31,43,44,57,11
07/18/2015,3.0,6,37,39,45,55,33
07/15/2015,2.0,13,16,34,45,50,11
